,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
169,3219,7.7,-14.993,-75.675,33,1996-11-12T16:59:44.029963Z,0,19,0,25,1.6,-999,1.038423819,-999,-999,-999,1,1,4,0,6,0,0,0,0,0,6.1,0,0,299.3097834,338.2345089,1,3
170,3221,8,19.055,-104.205,33,1995-10-09T15:35:53.910013Z,1,4,1,13,2,-999,0.446654448,2.2,-999,inf,1,1,1,0,4,0,5.8,0,5.8,0,6.8,0,25.99653799,378.629407,537.7249613,1,3
171,3232,7.1,13.525,121.067,31.5,1994-11-14T19:15:30.659966Z,0,4,0,6,1.6,-999,0.140625014,-999,-999,-999,1,1,3,0,5,0,0,0,0,0,5.5,0,0,78.82146876,133.823798,1,1
172,3237,7.3,33.825,59.809,10,1997-05-10T07:57:29.719960Z,0,1,0,5,1.9,-999,inf,-999,-999,-999,1,-1,1,0,4,0,0,0,0,0,5.9,0,0,166.4162548,182.289452,-1,1
173,3241,7.1,29.976,68.208,33,1997-02-27T21:08:02.359967Z,0,4,0,9,1.1,-999,0.195298962,-999,-999,-999,1,1,4,0,8,0,0,0,0,0,6,0,0,83.42169914,133.823798,1,3
174,3279,8,-23.34,-70.294,45.6,1995-07-30T05:11:23.630031Z,0,26,1,36,1.6,-999,2.254672054,-999,-999,-999,1,1,4,0,5,1,6,0,0,0,6.6,0,37.20640769,186.1126212,537.7249613,1,3
175,3280,7.2,18.219,-102.756,33,1997-01-11T20:28:26.019979Z,0,2,0,2,1.7,-999,0.185251555,-999,-999,-999,-1,-1,1,0,1,0,0,0,0,0,5.5,0,0,41.61808176,156.1879214,-1,2
176,3282,7.1,52.629,142.827,11,1995-05-27T13:03:52.650002Z,0,4,0,8,1.8,-999,0.237897508,-999,-999,-999,1,1,3,0,6,0,0,0,0,0,5.6,0,0,82.66145167,133.823798,-1,1
177,3283,7.1,27.929,130.175,28.4,1995-10-18T10:37:26.379987Z,0,17,0,19,0.3,-999,0.794985878,-999,-999,-999,2,2,15,0,17,0,0,0,0,0,6.8,0,0,82.86324821,133.823798,-1,2
178,3284,7,-2.75,-77.881,24.4,1995-10-03T01:51:23.900026Z,0,11,0,14,0.5,-999,0.420697575,-999,-999,-999,1,1,11,0,14,0,0,0,0,0,6.5,0,0,106.7585221,114.6619326,-1,3
179,3288,7.5,-9.593,-79.587,10,1996-02-21T12:51:01.300002Z,0,2,0,5,2.5,-999,0.087050095,-999,-999,-999,1,-1,0,0,0,0,0,0,0,0,5.4,0,0,221.4162826,248.307437,1,3
180,3291,7.2,28.826,34.799,10,1995-11-22T04:15:11.940021Z,0,4,0,7,1.5,-999,0.215851421,-999,-999,-999,1,1,2,0,3,0,0,0,0,0,5.7,0,0,56.60259123,156.1879214,1,1
181,3297,7.9,0.729,119.931,24,1996-01-01T08:05:10.830021Z,0,8,0,34,2.3,-999,0.302842276,-999,-999,-999,1,1,0,0,4,0,0,0,0,0,7,0,0,312.5477973,460.7295875,1,3
182,3298,8.1,-0.891,136.952,33,1996-02-17T05:59:30.550039Z,0,36,0,52,1.6,0.883310811,1.766355447,-999,-999,-999,1,1,4,0,5,0,0,0,0,0,6.5,0,0,414.4499395,470.6906315,1,3
183,3301,7.4,16.779,-98.597,23,1995-09-14T14:04:31.429974Z,0,1,0,15,2.3,-999,inf,-999,-999,-999,2,-1,0,0,8,0,0,0,0,0,7.1,0,0,172.2503222,212.7529709,1,3
