,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
130,7.5,14.1,92.89,4.7,2009-08-10T19:55:37.920003Z,0,2,0,2,-1,-1,2.0,1,0,1,0
131,7.5,55.39,-134.65,10.0,2013-01-05T08:58:16.319995Z,0,2,0,2,-1,-1,0.0,2,0,2,0
132,7.5,-2.6,68.38,10.0,2003-07-15T20:27:53.280004Z,0,3,0,3,1,1,1.0,1,0,1,0
133,7.5,-9.92,160.46,14.0,1984-02-07T21:33:24.480005Z,0,1,0,1,-1,-1,0.0,1,0,1,0
134,7.5,17.82,-101.67,33.0,1985-09-21T01:37:12.000000Z,0,0,0,0,-1,-1,3.0,0,0,0,0
135,7.5,7.88,91.94,35.0,2010-06-12T19:26:49.920001Z,0,5,0,5,1,1,0.0,1,0,1,0
136,7.5,-1.76,134.3,10.0,2002-10-10T10:50:18.240003Z,7,3,7,3,1,1,1.0,2,3,2,3
137,7.5,-1.11,123.57,26.0,2000-05-04T04:21:12.960000Z,0,4,0,4,1,1,1.0,3,0,3,0
138,7.5,-10.21,160.77,38.0,1988-08-10T04:38:29.759999Z,0,3,0,3,1,1,3.0,1,0,1,0
139,7.5,44.24,148.86,33.0,1978-03-24T19:47:51.360001Z,0,0,0,0,-1,-1,3.0,0,0,0,0
140,7.5,-24.49,-70.17,27.0,1987-03-05T09:16:59.519998Z,0,5,0,5,1,1,3.0,5,0,5,0
141,7.5,18.77,-104.1,24.0,2003-01-22T02:06:34.560004Z,0,3,0,3,1,1,0.0,1,0,1,0
142,7.5,-6.07,142.75,25.2,2018-02-25T17:44:44.159997Z,0,26,0,34,1,1,3.0,9,0,10,0
143,7.5,-24.19,-175.77,33.0,1982-12-19T17:43:52.320004Z,6,12,6,12,1,1,3.0,6,5,6,5
144,7.5,1.82,126.64,43.0,1986-08-14T19:39:12.959996Z,0,8,0,10,1,1,0.0,8,0,9,0
145,7.5,-22.26,171.73,33.0,1981-07-06T03:08:21.120004Z,0,2,0,3,1,-1,0.0,2,0,3,0
146,7.5,16.5,-98.22,20.0,2012-03-20T18:02:44.160003Z,0,6,0,6,1,1,0.0,1,0,1,0
147,7.5,17.48,-83.52,19.0,2018-01-10T02:51:30.240001Z,0,0,0,0,-1,-1,1.0,0,0,0,0
148,7.5,60.64,-141.59,15.0,1979-02-28T21:27:04.319997Z,0,1,0,2,-1,-1,0.0,0,0,0,0
149,7.5,-14.99,-173.17,15.0,1981-09-01T09:29:31.199999Z,1,4,1,5,1,1,2.0,3,1,3,1
150,7.4,16.06,-96.93,60.6,1999-09-30T16:31:17.759999Z,0,0,0,0,-1,-1,2.0,0,0,0,0
151,7.4,-60.93,-21.58,10.0,2006-01-02T06:10:47.999996Z,0,0,0,0,-1,-1,1.0,0,0,0,0
152,7.4,15.23,147.53,32.0,1990-04-05T21:12:40.319996Z,0,2,0,4,1,-1,2.0,1,0,1,0
153,7.4,-21.89,169.85,33.0,1980-10-25T11:00:05.760000Z,2,9,2,9,5,5,3.0,9,2,9,2
154,7.4,36.96,49.41,10.0,1990-06-20T21:00:08.639995Z,0,3,0,3,1,1,0.0,1,0,1,0
155,7.4,8.73,-83.12,33.0,1983-04-03T02:50:03.839997Z,0,4,0,5,1,1,3.0,4,0,5,0
156,7.4,-33.23,-71.76,33.0,1985-03-04T00:32:23.999997Z,0,0,0,0,-1,-1,0.0,0,0,0,0
157,7.4,-0.69,133.3,23.0,2009-01-03T22:33:35.999995Z,0,0,0,0,-1,-1,3.0,0,0,0,0
158,7.4,39.8,142.84,38.0,1989-11-01T18:25:37.920003Z,7,8,7,10,1,1,0.0,3,6,5,6
159,7.4,-31.03,-67.77,13.0,1977-11-23T09:26:21.120000Z,0,6,0,7,1,1,3.0,6,0,7,0
160,7.4,17.81,-101.28,49.0,1979-03-14T11:07:17.760001Z,1,1,1,1,-1,-1,0.0,1,1,1,1
161,7.4,46.86,155.15,36.0,2009-01-15T17:49:37.920001Z,4,1,4,1,1,1,3.0,0,2,0,2
162,7.4,-28.99,-176.24,33.0,2011-10-21T17:57:15.839997Z,5,5,5,8,1,1,3.0,0,0,1,0
163,7.4,34.91,45.96,19.0,2017-11-12T18:18:17.279997Z,0,1,0,7,1,-1,0.0,1,0,3,0
164,7.4,-37.77,-75.05,41.7,2010-02-27T08:01:23.519999Z,0,0,0,0,-1,-1,2.0,0,0,0,0
