,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
130,7.6,2005-10-08T03:50:39.000003,2005-10-08T03:50:40.799962Z,2005-10-08T03:50:40.799962Z,34.539,73.588,26.0,3125,2633,103,43,0,41,0,48,0,43,0,43,0,1,1,1,1,1
131,7.6,2006-04-20T23:25:00.999997,2006-04-20T23:25:02.150023Z,2006-04-20T23:25:02.150023Z,60.949,167.089,22.0,3184,2949,118,19,0,17,0,34,0,24,0,24,0,1,1,1,1,1
132,8.0,2006-05-03T15:26:38.999997,2006-05-03T15:26:40.290002Z,2006-05-03T15:26:40.290002Z,-20.187,-174.123,55.0,3193,2924,32,9,0,9,0,88,3,39,0,39,5,1,1,1,1,1
133,7.7,2006-07-17T08:19:25.000002,2006-07-17T08:19:26.679996Z,2006-07-17T08:19:26.679996Z,-9.284,107.419,20.0,3222,2847,93,90,0,89,0,104,0,92,0,92,0,1,1,1,1,1
134,8.3,2006-11-15T11:14:11.999999,2006-11-15T11:14:13.570027Z,2006-11-15T11:14:13.570027Z,46.592,153.266,10.0,3246,2940,11,102,17,93,17,166,28,93,8,93,9,1,2,2,1,2
135,8.0,2007-08-15T23:40:56.000003,2007-08-15T23:40:57.889981Z,2007-08-15T23:40:57.889981Z,-13.386,-76.603,39.0,3263,3736,28,34,2,33,0,44,2,34,0,34,1,1,1,1,1,1
136,7.5,2007-01-21T11:27:44.000003,2007-01-21T11:27:45.059992Z,2007-01-21T11:27:45.059992Z,1.065,126.282,22.0,3294,3762,148,47,0,43,0,110,9,52,0,52,1,1,1,1,1,1
137,8.1,2007-04-01T20:39:57.000004,2007-04-01T20:39:58.710036Z,2007-04-01T20:39:58.710036Z,-8.466,157.043,24.0,3334,3760,21,11,0,11,0,129,9,93,0,93,1,1,1,1,1,1
138,8.4,2007-09-12T11:10:24.999999,2007-09-12T11:10:26.829987Z,2007-09-12T11:10:26.829987Z,-4.438,101.367,34.0,3424,4017,6,97,0,78,0,203,0,90,0,90,6,1,1,1,1,1
139,7.4,2007-09-30T05:23:33.000003,2007-09-30T05:23:34.069974Z,2007-09-30T05:23:34.069974Z,-49.271,164.115,10.0,3435,2755,166,4,0,3,0,10,0,8,0,8,0,1,1,1,1,1
