,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
133,-999.0,-999,1,1,134,10.0,1.8999999999999995,-999.0,2.0,16.72,-86.23,7.3,3,3,0,0,2009-05-28T08:24:43.199995Z,0.22409800552795348,-999.0
134,-999.0,-999,1,1,135,33.0,0.8999999999999995,1.0,2.0,-20.07,168.89,7.3,20,20,4,4,2008-04-09T12:46:13.439996Z,0.3750832215892399,1.4862705755871852
135,-999.0,-999,0,0,136,16.0,0.39999999999999947,1.7999999999999998,2.0,-19.7,167.94,7.3,23,23,1,1,2010-12-25T13:16:36.479997Z,0.5378229860865775,inf
136,-999.0,-999,1,1,137,16.0,0.7000000000000002,-999.0,0.0,50.04,87.81,7.3,7,7,0,0,2003-09-27T11:33:21.599999Z,0.13922091973344444,-999.0
137,-999.0,-999,1,1,138,52.0,1.5,-999.0,1.0,52.07,-171.84,7.3,6,6,0,0,2011-06-24T03:09:38.880002Z,0.17248119954933502,-999.0
138,-999.0,-999,1,1,139,25.0,1.3999999999999995,-999.0,3.0,-17.54,168.07,7.3,10,10,0,0,2010-08-10T05:23:42.719997Z,0.18685337055460474,-999.0
139,-999.0,-999,1,1,140,36.0,1.5999999999999996,0.5,3.0,-4.68,102.56,7.3,8,8,6,6,2001-02-13T19:28:33.599996Z,0.15009409023286086,0.1869607351295031
140,-999.0,-999,0,0,141,21.0,1.7000000000000002,-999.0,3.0,16.84,-98.6,7.3,1,1,0,0,1995-09-14T14:04:33.599998Z,inf,-999.0
141,-999.0,-999,0,0,142,32.0,-999.0,-999.0,3.0,38.44,142.84,7.3,0,0,0,0,2011-03-09T02:45:18.719998Z,-999.0,-999.0
142,-999.0,-999,1,1,143,33.0,2.0999999999999996,1.5999999999999996,0.0,-10.49,160.77,7.3,1,1,2,2,2003-01-20T08:43:09.119997Z,inf,0.1260223563659809
143,-999.0,-999,1,1,144,26.0,1.0,1.2000000000000002,3.0,2.77,95.96,7.3,2,2,1,1,2008-02-20T08:08:26.880004Z,0.1416811889880594,inf
144,-999.0,-999,0,0,145,19.0,1.5999999999999996,-999.0,3.0,9.89,-84.89,7.3,1,1,0,0,1990-03-25T13:22:56.639995Z,inf,-999.0
145,-999.0,-999,1,1,146,28.0,1.7999999999999998,1.8999999999999995,1.0,12.14,-88.59,7.3,4,4,2,2,2012-08-27T04:37:20.639996Z,0.07326369619007364,0.34456025497641307
146,-999.0,-999,0,0,147,15.0,-999.0,-999.0,0.0,4.7,-77.51,7.2,0,0,0,0,2004-11-15T09:06:54.719999Z,-999.0,-999.0
147,-999.0,-999,0,0,148,68.0,-999.0,-999.0,0.0,28.78,63.94,7.2,0,0,0,0,2011-01-18T20:23:25.439996Z,-999.0,-999.0
148,-999.0,-999,2,2,149,36.1,1.0,1.6000000000000005,1.0,37.89,144.09,7.2,3,3,2,2,2012-12-07T08:18:23.039997Z,1.712231037000673,0.09207509644899356
