,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
113,-999.0,-999,2,2,114,10.0,0.8000000000000007,0.20000000000000018,0.0,33.18,137.07,7.4,6,6,6,6,1,1,1,1,2004-09-05T14:57:15.839997Z,1.4175683976790556,inf
114,-999.0,-999,0,0,115,23.0,-999.0,-999.0,2.0,-0.69,133.3,7.4,0,0,0,0,0,0,0,0,2009-01-03T22:33:35.999995Z,-999.0,-999.0
115,-999.0,-999,1,1,116,14.0,1.0,-999.0,2.0,26.9,143.7,7.4,7,7,7,7,0,0,0,0,2010-12-21T17:19:40.800006Z,8.175659893293702,-999.0
116,-999.0,-999,0,0,117,33.0,1.6000000000000005,-999.0,2.0,-16.42,168.21,7.4,2,2,2,2,0,0,0,0,1999-11-26T13:21:12.960000Z,0.3025581289831818,-999.0
117,-999.0,-999,1,1,118,19.0,1.9000000000000004,-999.0,0.0,34.91,45.96,7.4,5,5,5,5,0,0,0,0,2017-11-12T18:18:17.279997Z,0.16263547535072792,-999.0
118,-999.0,-999,1,1,119,33.0,1.8000000000000007,-999.0,3.0,-4.1,123.91,7.4,3,3,3,3,0,0,0,0,2001-10-19T03:28:48.000002Z,1.588141874035599,-999.0
119,-999.0,-999,0,0,120,33.0,2.2,-999.0,1.0,22.31,125.31,7.4,2,2,2,2,0,0,0,0,1998-05-03T23:30:20.159996Z,0.10917626507986615,-999.0
120,-999.0,-999,1,1,121,24.0,1.0,1.9000000000000004,1.0,13.96,-91.85,7.4,9,9,9,9,2,2,2,2,2012-11-07T16:35:45.599996Z,0.1712055151003616,0.23042802004805368
121,-999.0,-999,0,0,122,31.1,-999.0,-999.0,1.0,-13.09,166.5,7.4,0,0,0,0,0,0,0,0,2009-10-07T23:13:46.560004Z,-999.0,-999.0
122,-999.0,-999,0,0,123,10.0,-999.0,-999.0,0.0,-60.93,-21.58,7.4,0,0,0,0,0,0,0,0,2006-01-02T06:10:47.999996Z,-999.0,-999.0
123,-999.0,-999,0,0,124,60.6,-999.0,-999.0,2.0,16.06,-96.93,7.4,0,0,0,0,0,0,0,0,1999-09-30T16:31:17.759999Z,-999.0,-999.0
124,-999.0,-999,1,1,125,10.0,0.8000000000000007,-999.0,3.0,-49.27,164.12,7.4,3,3,3,3,0,0,0,0,2007-09-30T05:23:34.080002Z,0.26605415088799284,-999.0
125,-999.0,-999,1,1,126,33.0,0.6000000000000005,1.8000000000000007,3.0,6.9,126.58,7.4,6,6,6,6,2,2,2,2,2001-01-01T06:57:01.440002Z,0.10339782485441486,0.038274948089607796
126,-999.0,-999,1,1,127,33.0,1.8000000000000007,2.2,1.0,-28.99,-176.24,7.4,5,5,5,5,1,1,1,1,2011-10-21T17:57:15.839997Z,0.08646210884556746,inf
127,-999.0,-999,0,0,128,39.0,-999.0,-999.0,0.0,-11.46,162.05,7.4,0,0,0,0,0,0,0,0,2014-04-13T12:36:17.280003Z,-999.0,-999.0
128,-999.0,-999,0,0,129,30.0,-999.0,-999.0,3.0,1.27,122.09,7.3,0,0,0,0,0,0,0,0,2008-11-16T17:02:32.640002Z,-999.0,-999.0
129,-999.0,-999,1,1,130,33.0,2.0999999999999996,1.5999999999999996,0.0,-10.49,160.77,7.3,1,1,1,1,2,2,2,2,2003-01-20T08:43:09.119997Z,inf,0.1260223563659809
130,-999.0,-999,0,0,131,33.0,-999.0,-999.0,3.0,41.77,143.59,7.3,0,0,0,0,0,0,0,0,2003-09-25T21:08:03.840003Z,-999.0,-999.0
131,-999.0,-999,0,0,132,38.0,-999.0,-999.0,1.0,3.75,96.02,7.3,0,0,0,0,0,0,0,0,2010-05-09T05:59:42.719999Z,-999.0,-999.0
132,-999.0,-999,0,0,133,10.0,0.20000000000000018,0.5999999999999996,3.0,-22.01,169.77,7.3,19,19,19,19,8,8,8,8,2003-12-27T16:01:03.360003Z,0.6794474304377465,0.13882646518322744
133,-999.0,-999,0,0,134,16.0,0.39999999999999947,1.7999999999999998,0.0,-19.7,167.94,7.3,18,18,18,18,1,1,1,1,2010-12-25T13:16:36.479997Z,0.9593911064423288,inf
