,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
532,-999.000,-999.000,227,5.0,0.1,-999.0,0.1,-999.0,38.700,-122.819,3.3,1,0,1,0,1995-08-23T10:46:55.999997,-999.000,-999.000,0,0
533,-999.000,-999.000,226,9.0,-999.0,-999.0,0.2,-999.0,36.283,-120.462,3.4,0,0,1,0,1994-12-28T12:49:04.000003,-999.000,-999.000,0,0
534,-999.000,-999.000,225,4.0,0.3,-999.0,0.3,-999.0,37.535,-118.870,3.6,1,0,1,0,1995-07-10T22:47:23.000004,-999.000,-999.000,0,0
535,-999.000,-999.000,224,19.0,-999.0,-999.0,0.2,-999.0,40.313,-124.562,3.5,0,0,2,0,1994-07-16T08:01:30.999999,-999.000,-999.000,0,0
536,-999.000,-999.000,223,9.0,-999.0,-999.0,-999.0,0.6,36.764,-121.357,3.9,0,0,0,1,1995-06-16T04:20:35.000000,-999.000,-999.000,0,0
537,-999.000,-999.000,222,2.0,-999.0,0.9,-999.0,0.9,39.807,-122.737,4.4,0,1,0,1,1995-05-17T02:29:11.999999,-999.000,-999.000,0,0
538,-999.000,-999.000,221,2.0,-999.0,-999.0,0.1,-999.0,36.705,-121.334,3.3,0,0,1,0,1994-09-27T14:54:22.000000,-999.000,-999.000,0,0
539,-999.000,-999.000,220,8.0,0.2,-999.0,0.2,-999.0,37.596,-118.834,4.2,2,0,2,0,1995-03-05T00:07:01.999999,-999.000,-999.000,0,0
540,-999.000,-999.000,114,6.0,-999.0,0.3,-999.0,0.3,37.385,-122.176,3.5,0,1,0,1,1990-09-26T02:53:54.000002,-999.000,-999.000,0,0
541,-999.000,-999.000,391,8.0,0.8,-999.0,0.8,-999.0,38.378,-122.162,4.1,1,0,1,0,2005-05-08T08:43:53.999999,-999.000,-999.000,0,0
542,-999.000,-999.000,390,4.0,0.5,-999.0,0.5,-999.0,35.056,-119.197,4.7,2,0,2,0,2005-04-16T19:18:10.999998,-999.000,-999.000,0,0
543,-999.000,-999.000,151,6.0,-999.0,0.4,-999.0,0.4,35.526,-118.136,3.9,0,1,0,1,1992-06-30T00:06:37.000001,-999.000,-999.000,0,0
544,-999.000,-999.000,150,9.0,0.5,-999.0,0.5,-999.0,37.578,-118.827,3.9,1,0,1,0,1992-06-29T05:37:43.999998,-999.000,-999.000,0,0
545,-999.000,-999.000,153,-1.0,-999.0,0.5,-999.0,0.5,37.645,-118.058,3.7,0,1,0,1,1992-07-05T06:16:16.999998,-999.000,-999.000,0,0
546,-999.000,-999.000,152,2.0,0.4,-999.0,0.4,-999.0,38.833,-119.454,3.9,1,0,1,0,1992-06-28T12:52:10.999998,-999.000,-999.000,0,0
547,-999.000,-999.000,155,11.0,1.3,-999.0,1.3,-999.0,35.209,-118.062,5.2,1,0,1,0,1992-07-11T18:14:13.999999,-999.000,-999.000,0,0
548,-999.000,-999.000,154,7.0,-999.0,0.1,-999.0,0.1,36.126,-117.820,3.3,0,1,0,1,1992-07-07T03:12:44.999997,-999.000,-999.000,0,0
549,-999.000,-999.000,157,23.0,0.2,-999.0,0.2,-999.0,35.139,-118.625,3.9,1,0,1,0,1992-07-20T04:08:51.999997,-999.000,-999.000,0,0
550,-999.000,-999.000,156,3.0,0.6,0.1,0.6,0.1,35.956,-118.381,4.1,2,2,2,2,1992-07-13T09:54:18.000002,-999.000,-999.000,2,2
551,-999.000,-999.000,159,2.0,1.3,-999.0,1.3,-999.0,38.860,-122.792,4.5,1,0,1,0,1992-09-19T23:04:44.999997,-999.000,-999.000,0,0
552,-999.000,-999.000,158,1.0,-999.0,0.5,-999.0,0.5,39.316,-119.235,4.2,0,2,0,2,1992-07-20T20:09:31.000002,-999.000,-999.000,0,0
553,-999.000,-999.000,112,6.0,0.4,0.6,0.4,0.6,36.680,-121.306,4.1,2,1,3,1,1990-09-08T12:48:21.000000,-999.000,-999.000,4,0
554,-999.000,-999.000,83,3.0,-999.0,-999.0,-999.0,-999.0,37.527,-118.870,3.4,1,0,1,0,1989-03-10T01:40:23.999998,-999.000,-999.000,0,0
555,-999.000,-999.000,399,8.0,-999.0,0.3,-999.0,0.3,37.551,-118.823,3.7,0,1,0,1,2005-10-03T09:19:01.999999,-999.000,-999.000,0,0
556,-999.000,-999.000,398,4.0,0.5,-999.0,0.5,-999.0,35.648,-121.092,4.0,1,0,1,0,2005-10-02T13:48:07.999997,-999.000,-999.000,0,0
557,-999.000,-999.000,48,25.0,1.0,-999.0,1.0,-999.0,40.391,-124.554,4.2,1,0,1,0,1987-04-16T04:52:29.999997,-999.000,-999.000,0,0
558,-999.000,-999.000,49,4.0,0.2,-999.0,0.2,-999.0,37.755,-122.150,3.4,1,0,1,0,1987-05-26T07:01:09.999998,-999.000,-999.000,0,0
559,-999.000,-999.000,46,11.0,-999.0,0.5,-999.0,0.5,39.672,-118.041,3.9,0,1,0,1,1987-03-16T16:51:04.000000,-999.000,-999.000,0,0
560,-999.000,-999.000,47,-1.0,0.3,0.1,0.3,0.1,40.180,-117.773,4.3,3,1,3,1,1987-03-25T16:01:29.999998,-999.000,-999.000,3,3
561,-999.000,-999.000,44,4.0,0.5,0.3,0.5,0.3,37.540,-118.872,4.0,1,2,2,2,1987-02-27T16:24:56.000003,-999.000,-999.000,4,0
562,-999.000,-999.000,45,6.0,0.1,-999.0,0.1,-999.0,36.605,-121.206,3.3,1,0,2,0,1987-02-21T13:02:17.999997,-999.000,-999.000,0,0
563,-999.000,-999.000,42,7.0,0.2,-999.0,0.2,-999.0,37.508,-121.693,3.5,1,0,1,0,1987-02-09T16:08:49.000000,-999.000,-999.000,0,0
564,-999.000,-999.000,43,15.0,2.0,2.1,2.0,2.1,36.172,-120.341,5.3,1,1,1,1,1987-02-14T07:26:49.000000,-999.000,-999.000,0,0
565,-999.000,-999.000,40,9.0,-999.0,0.1,-999.0,0.1,38.793,-122.458,3.3,0,1,0,1,1986-12-14T23:00:21.999999,-999.000,-999.000,0,0
566,-999.000,-999.000,41,6.0,-999.0,0.4,-999.0,0.4,37.452,-121.796,4.0,0,1,0,1,1986-12-29T15:28:02.999999,-999.000,-999.000,0,0
567,-999.000,-999.000,5,8.0,0.5,-999.0,0.5,-999.0,36.216,-120.291,3.7,1,0,1,0,1985-04-09T03:23:21.999996,-999.000,-999.000,0,0
568,-999.000,-999.000,489,26.0,0.4,-999.0,0.4,-999.0,40.443,-124.186,4.4,1,0,1,0,2012-09-14T11:53:16.000002,-999.000,-999.000,0,0
569,-999.000,-999.000,488,10.0,-999.0,0.4,-999.0,0.4,36.121,-119.999,4.1,0,1,0,1,2012-09-07T13:23:46.999997,-999.000,-999.000,0,0
570,-999.000,-999.000,487,3.0,0.1,0.1,0.1,0.1,36.016,-118.393,3.5,2,1,2,1,2012-08-28T09:36:16.000003,-999.000,-999.000,4,4
571,-999.000,-999.000,486,5.0,1.7,0.1,0.6,0.1,40.412,-125.331,5.2,1,1,2,1,2012-07-21T06:04:20.000001,-999.000,-999.000,2,0
572,-999.000,-999.000,485,8.0,0.2,-999.0,0.2,-999.0,37.261,-121.636,3.5,1,0,1,0,2012-06-03T17:31:35.999997,-999.000,-999.000,0,0
573,-999.000,-999.000,484,1.0,0.3,-999.0,0.3,-999.0,38.796,-122.761,4.2,2,0,3,0,2012-05-05T09:23:22.000001,-999.000,-999.000,2,0
574,-999.000,-999.000,483,8.0,-999.0,0.6,-999.0,0.6,37.927,-122.310,4.0,0,1,0,1,2012-03-05T13:33:18.999997,-999.000,-999.000,0,0
